地點名稱,任務題目,分數
豐年祭,請同組的人一起出來表演出牽手舞蹈動作。,15
豐年祭,豐年祭通常是在哪一個季節舉行？,10
豐年祭,請問課本裡介紹的是哪一個族的豐年祭？,5
豐年祭,原住民舉辦豐年祭的目的最主要是什麼,10
播種祭,播種祭通常是在哪一個季節舉行？？,10
播種祭,播種祭是哪一個族的慶典？,5
播種祭,舉辦播種祭的目的是什麼,10
播種祭,播種祭通常是在哪一個季節舉行？？,10
播種祭,播種祭是哪一個族的慶典？,5
播種祭,請說明播種祭的過程,15
除夕,除夕夜全家人聚在一起吃的飯稱為什麼？,10
除夕,傳統習俗中，長輩會在除夕發給晚輩什麼東西以祈求平安？,5
除夕,請說明除夕這天你們家通常在做些什麼事？,15
除夕,請說兩個在除夕會說的吉祥話？,10
端午節,端午節是為了紀念哪一位古代的愛國詩人？,10
端午節,端午節除了吃粽子，還會在門口掛哪什麼來驅邪？,10
端午節,請說出兩個端午節會做的事或是習俗？,10
端午節,請同組的人一起出來表演划龍舟。,15
祖靈祭,請說出祖靈祭的目的。,15
祖靈祭,祖靈祭裡祭品包括什麼東西,10
祖靈祭,請問祖靈祭是哪一個族的慶典？,5
祖靈祭,原住民在祖靈祭裡用什麼來裝酒,5
五年祭,請問課本裡介紹的五年祭是哪一個族的慶典？,5
五年祭,刺福球時，勇士們會什麼來刺球？,5
五年祭,請同組的人一起出來表演刺球的動作,15
中元節,中元節是在農曆的幾月幾號？,10
中元節,這一天大家會準備豐富的祭品祭拜「好兄弟」，這稱為什麼儀式？,10
中元節,這一天基隆會辦什麼活動？,15
感恩祭,請問感恩祭是哪一個原住民族的活動,10
感恩祭,舉辦感恩祭在什麼時候舉辦,5
感恩祭,感恩祭通常會準備哪些祭品來祭拜祖靈,15
大獵祭,請問感恩祭是哪一個原住民族的活動,10
大獵祭,為什麼狩獵回來要帶花環？,10
大獵祭,花環愈多，代表的意義是什麼？,15
大獵祭,請同組的人一人扮演打獵的人，一人扮演獵物，另一位扮演獻花環的族人,20
戰祭,請問戰祭是哪一個族的慶典？,5
戰祭,請說出戰祭的目的。,15
清明節,請問清明節是哪一天,5
清明節,清明節那天的習俗是什麼？,15
元宵節,請問元宵節是在哪一天,10
元宵節,元宵節這天除了吃元宵，最有名的夜間活動是什麼？,10
元宵節,請猜下列燈謎，正確的才能得分：兩兄弟，手拉手，一個轉，一個留。（猜一文具用品）,15
招魚祭,請問招魚祭大概在什麼時候舉行？,10
招魚祭,舉辦招魚祭的目的是什麼,15
招魚祭,抓來的飛魚沒有吃完會如何處理,15
機會,請全組起立，大聲說出「我愛臺灣文化」三次！,15
機會,恭喜！老師心情好，直接加 20 分！,20
機會,請說出臺灣目前官方認定的原住民族共有幾族？,15
命運,請問中秋節要吃什麼水果，答對有20分？,20
命運,請和老師猜拳，猜拳輸了可得30分,15
命運,抽到魔王題！請說出五個家鄉的節慶。,10
教務處,請向老師敬禮並說出：「老師辛苦了」，即可獲得 10 分。,10
學務處,因為你在走廊奔跑，請全組在臺前站立反省1分鐘，同時沒有分數。,0
輔導室,心情放輕鬆，請全組原地轉三圈，獲得 5 分。,5
